Date,Ticker,Open,High,Low,Close,Volume,50_Day_SMA,200_Day_SMA,Daily_Return_%
28-01-2022,AAPL,162.15,166.69,159.31,166.67,179935700,165.95,144.7,6.98
31-01-2022,AAPL,166.51,171.24,165.87,171.03,115541600,166.36,144.9,2.61
01-02-2022,AAPL,170.28,171.09,168.61,170.86,86213900,166.69,145.1,-0.1
02-02-2022,AAPL,171,172.11,169.61,172.07,84914300,166.99,145.31,0.7
03-02-2022,AAPL,170.74,172.46,168.43,169.19,89418100,167.22,145.51,-1.67
04-02-2022,AAPL,168.21,170.58,167.23,168.91,82465400,167.44,145.71,-0.17
07-02-2022,AAPL,169.37,170.43,167.49,168.19,77251200,167.63,145.9,-0.42
08-02-2022,AAPL,168.26,171.81,167.96,171.3,74829200,167.99,146.1,1.85
09-02-2022,AAPL,172.49,173.08,171.36,172.72,71285000,168.31,146.31,0.83
10-02-2022,AAPL,170.62,171.93,168.08,168.64,90865900,168.45,146.5,-2.36
11-02-2022,AAPL,168.85,169.58,164.64,165.23,98670700,168.53,146.68,-2.02
14-02-2022,AAPL,163.99,166.15,163.19,165.47,86185500,168.63,146.86,0.14
15-02-2022,AAPL,167.51,169.45,166.81,169.3,62527400,168.85,147.07,2.32
16-02-2022,AAPL,168.38,169.84,166.61,169.06,61177400,169,147.29,-0.14
17-02-2022,AAPL,167.57,168.43,165.06,165.47,69589300,168.96,147.49,-2.13
18-02-2022,AAPL,166.39,167.09,162.83,163.92,82772700,168.81,147.68,-0.94
22-02-2022,AAPL,161.64,163.32,158.87,161,91162800,168.61,147.85,-1.78
23-02-2022,AAPL,162.19,162.79,156.52,156.83,90009200,168.24,148.01,-2.59
24-02-2022,AAPL,149.5,159.56,148.93,159.45,141147500,167.99,148.2,1.67
25-02-2022,AAPL,160.53,161.78,157.62,161.52,91974200,167.8,148.41,1.3
28-02-2022,AAPL,159.76,162.08,159.15,161.78,95056600,167.53,148.61,0.16
01-03-2022,AAPL,161.37,163.23,158.7,159.9,83474400,167.36,148.78,-1.16
02-03-2022,AAPL,161.07,163.98,159.66,163.19,79724800,167.27,148.98,2.06
03-03-2022,AAPL,165.06,165.5,162.2,162.87,76678400,167.21,149.19,-0.2
04-03-2022,AAPL,161.16,162.2,158.82,159.87,83737200,167.02,149.38,-1.84
07-03-2022,AAPL,160.06,161.68,155.82,156.08,96418800,166.7,149.54,-2.37
08-03-2022,AAPL,155.61,159.59,152.65,154.26,131148300,166.34,149.7,-1.17
09-03-2022,AAPL,158.22,160.11,156.19,159.66,91454900,166,149.88,3.5
10-03-2022,AAPL,156.96,157.15,152.83,155.32,105342000,165.6,150.03,-2.72
11-03-2022,AAPL,155.72,156.06,151.38,151.6,96970100,165.12,150.17,-2.39
